Date, Open, High, Low, Close, Volume
11/16/20, 154.66, 157.135, 153.6343, 156.553, 76173518.9335708
11/13/20, 156.10, 157.0862, 154.2695, 156.4405, 75251738.9464756
11/12/20, 157.9975, 158.794, 154.3025, 155.514, 87424158.7760618
11/11/20, 153.089, 156.9573, 152.50, 156.8695, 87338458.7772616
11/10/20, 154.751, 155.70, 150.9742, 151.751, 131819118.154532
11/09/20, 161.5515, 164.45, 155.6053, 157.187, 143808097.986687
11/06/20, 165.232, 166.10, 161.60, 165.5685, 92946598.6987476
11/05/20, 165.9985, 168.34, 164.444, 166.10, 115785698.379
11/04/20, 157.9995, 162.2425, 156.9865, 162.058, 136780818.085069
11/03/20, 150.9265, 153.745, 149.049, 152.4205, 97957598.6285936
11/02/20, 153.087, 153.9853, 147.506, 150.224, 145146997.967942
10/30/20, 157.8875, 158.3502, 150.95, 151.8075, 167921617.649097
10/29/20, 160.0635, 162.8625, 158.20, 160.5505, 131930578.152972
10/28/20, 162.465, 163.201, 158.1235, 158.139, 111766598.435268
10/27/20, 161.247, 164.583, 160.565, 164.3165, 85820938.7985069
10/26/20, 159.937, 164.149, 157.665, 160.352, 118023018.347678
10/23/20, 159.55, 160.2665, 157.00, 160.22, 69333739.0293277
10/22/20, 159.4935, 159.9375, 156.097, 158.82, 84240098.8206386
10/21/20, 160.625, 161.6938, 158.00, 159.247, 91854718.714034
10/20/20, 161.114, 163.30, 159.6005, 160.8505, 90193558.7372902
10/19/20, 164.9805, 166.45, 159.6368, 160.3605, 104472518.537385
10/16/20, 168.1615, 169.9831, 158.00, 163.6355, 129487058.187181
10/15/20, 164.6005, 167.794, 164.00, 166.9325, 104468958.537435
10/14/20, 172.35, 173.244, 167.00, 168.1855, 116578318.367904
10/13/20, 173.3995, 174.619, 171.2109, 172.1815, 114893938.391485
10/12/20, 167.497, 174.812, 166.9775, 172.1465, 167283937.658025
10/09/20, 160.50, 164.4495, 159.8915, 164.3325, 98157418.6257961
10/08/20, 161.2495, 161.6647, 158.7495, 159.5275, 63482279.1112481
10/07/20, 156.75, 160.00, 156.6193, 159.7845, 86188778.7933571
10/06/20, 158.25, 159.10, 154.50, 154.998, 101737138.57568
10/05/20, 157.292, 160.1265, 157.0425, 159.96, 75506638.9429071
10/02/20, 157.6815, 159.7898, 156.15, 156.25, 112261958.428333
10/01/20, 160.40, 161.20, 158.60, 161.063, 99438438.6078619
09/30/20, 157.057, 160.644, 156.6995, 157.4365, 97922018.6290917
09/29/20, 158.7695, 159.413, 156.627, 157.244, 70067959.0190486
09/28/20, 157.4425, 158.752, 155.8584, 158.7025, 84483298.8172338
09/25/20, 152.743, 155.077, 149.95, 154.7565, 92304038.7077435
09/24/20, 148.8895, 153.465, 148.25, 150.9895, 110587838.45177
09/23/20, 156.0215, 156.35, 149.6188, 149.993, 113053298.417254
09/22/20, 151.6918, 156.6995, 150.01, 156.4495, 138976318.054332
09/21/20, 145.325, 148.10, 143.55, 148.0235, 122358498.286981
09/18/20, 151.587, 151.89, 145.277, 147.7455, 177851597.510078
09/17/20, 150.4625, 151.4716, 148.6275, 150.4365, 128980998.194266
09/16/20, 158.9995, 159.3619, 153.7075, 153.905, 90623778.7312671
09/15/20, 156.808, 158.751, 155.446, 157.8065, 80430698.8739702
09/14/20, 158.6469, 159.3695, 154.80, 155.1485, 90591918.7317131
09/11/20, 160.4345, 160.8671, 154.199, 155.811, 101879638.573685
09/10/20, 165.361, 167.4945, 158.5275, 158.7555, 106614818.507393
09/09/20, 160.1495, 165.1588, 159.25, 163.4305, 103773498.547171
09/08/20, 157.20, 162.5423, 156.50, 157.492, 121884098.293623
09/04/20, 165.90, 169.075, 155.5565, 164.731, 175635077.541109
09/03/20, 174.25, 174.4205, 165.15, 168.40, 163222257.714888
09/02/20, 177.35, 177.6125, 174.3343, 176.5725, 78629518.8991868
09/01/20, 174.479, 175.6935, 173.35, 174.956, 69528139.026606
08/31/20, 170.4495, 174.75, 170.25, 172.548, 83717698.8279522
08/28/20, 171.15, 171.6685, 169.325, 170.09, 57939559.1888462
08/27/20, 172.5025, 172.65, 168.90, 170.00, 85295898.8058574
08/26/20, 167.5555, 172.587, 167.2284, 172.0925, 130174858.177552
08/25/20, 164.7495, 167.87, 163.35, 167.3245, 79856838.8820043
08/24/20, 165.5075, 169.0158, 162.8781, 165.373, 93325158.6934478
08/21/20, 164.75, 165.7198, 163.7695, 164.236, 71517238.9987586
08/20/20, 162.60, 165.631, 161.90, 164.8685, 66649559.0669062
08/19/20, 165.1505, 165.795, 162.80, 163.024, 83702738.8281616
08/18/20, 160.60, 166.00, 160.291, 165.6245, 106919478.503127
08/17/20, 158.656, 159.7485, 157.7089, 159.1205, 53824739.2464537
08/14/20, 158.909, 158.9118, 156.00, 157.401, 55034459.2295176
08/13/20, 159.1495, 160.8761, 157.75, 158.051, 62980859.118268
08/12/20, 155.40, 158.7193, 155.071, 158.112, 70544579.0123759
08/11/20, 155.66, 157.961, 153.65, 154.0335, 74361138.958944
08/10/20, 158.5155, 158.6255, 155.076, 157.408, 63345479.1131633
08/07/20, 161.2005, 162.0405, 157.0337, 158.373, 78722538.8978844
08/06/20, 159.718, 162.3735, 158.2715, 161.25, 78812038.8966315
08/05/20, 157.1885, 160.6793, 156.365, 160.2515, 78600498.899593
08/04/20, 155.0605, 158.362, 155.0605, 156.9415, 93885878.6855977
08/03/20, 159.0255, 159.20, 155.20, 155.5945, 101493258.579094
07/31/20, 162.20, 162.341, 157.55, 158.234, 161667377.736657
07/30/20, 150.70, 154.60, 150.25, 152.594, 122565298.284086
07/29/20, 151.5495, 151.958, 149.8385, 151.6765, 59481199.1672632
07/28/20, 152.7135, 153.8547, 149.788, 150.0165, 62533019.1245377
07/27/20, 153.10, 154.90, 150.7885, 152.7605, 83409838.8322623
07/24/20, 146.50, 151.579, 144.40, 150.4455, 112648258.422924
07/23/20, 154.9136, 154.9136, 148.50, 149.3275, 113138118.416066
07/22/20, 156.25, 157.50, 153.263, 154.9955, 82084498.850817
07/21/20, 161.6245, 162.0288, 155.286, 156.9145, 122699298.28221
07/20/20, 150.01, 160.068, 149.7009, 159.842, 151963517.872511
07/17/20, 150.45, 151.20, 147.4225, 148.0985, 95226378.6668307
07/16/20, 148.553, 151.60, 145.9115, 149.995, 127884918.209611
07/15/20, 154.0115, 154.9175, 148.659, 150.4435, 115777478.379115
07/14/20, 154.45, 156.369, 147.50, 154.20, 144638657.975059
07/13/20, 162.553, 167.2145, 153.4195, 155.20, 154408397.838282
07/10/20, 159.588, 160.75, 156.785, 160.00, 109719638.463925
07/09/20, 155.7995, 159.694, 153.7001, 159.1315, 127773178.211176
07/08/20, 151.1305, 154.1985, 150.6215, 154.0555, 100752698.589462
07/07/20, 152.9275, 153.4775, 149.50, 150.006, 105150278.527896
07/06/20, 146.7485, 152.994, 146.50, 152.852, 137612838.07342
07/02/20, 145.6005, 147.778, 143.5551, 144.515, 131867738.153852
07/01/20, 137.8995, 144.75, 137.70, 143.935, 127268778.218237
06/30/20, 134.2533, 138.4815, 133.7515, 137.941, 75393718.9444879
06/29/20, 134.5005, 134.84, 131.504, 134.019, 84468438.8174419
06/26/20, 138.7528, 139.1285, 134.40, 134.6435, 130015678.179781
06/25/20, 136.9775, 137.8115, 135.607, 137.729, 59373139.1687761
06/24/20, 139.00, 139.80, 136.05, 136.72, 90532098.7325506
06/23/20, 136.301, 139.1555, 135.902, 138.2205, 84634138.8151221
06/22/20, 134.225, 135.75, 133.45, 135.691, 64175599.1015416
06/19/20, 133.904, 134.8715, 132.95, 133.7505, 115539258.38245
06/18/20, 132.3505, 132.982, 131.8055, 132.699, 49755479.3034233
06/17/20, 132.375, 132.75, 131.591, 132.049, 59186319.1713915
06/16/20, 131.00, 131.00, 128.80, 130.7635, 71912978.9932183
06/15/20, 126.33, 129.20, 125.40, 128.634, 77466698.9154662
06/12/20, 130.0605, 131.0739, 125.1675, 127.251, 108722538.477884
06/11/20, 130.175, 133.569, 126.8115, 127.898, 116002138.37597
06/10/20, 132.25, 136.1175, 131.313, 132.3725, 98920618.6151114
06/09/20, 126.472, 131.3215, 126.25, 130.043, 103518998.550734
06/08/20, 125.01, 126.50, 124.3668, 126.203, 79413078.8882169
06/05/20, 122.2255, 124.4323, 121.8565, 124.15, 66128899.0741954
06/04/20, 123.8715, 125.377, 122.5005, 123.03, 58974199.1743612
06/03/20, 123.4005, 124.40, 123.0585, 123.92, 53420479.2521133
06/02/20, 123.35, 123.6765, 122.2655, 123.6205, 50598059.2916272
06/01/20, 122.40, 123.8465, 122.2085, 123.552, 58760639.1773511
05/29/20, 120.797, 122.1185, 119.9099, 122.1185, 70586579.0117879
05/28/20, 119.2165, 121.8485, 118.9115, 120.055, 63862719.1059219
05/27/20, 120.2495, 120.679, 116.50, 120.5195, 101138898.584055
05/26/20, 122.90, 123.10, 120.703, 121.093, 71363059.0009172
05/22/20, 122.7505, 123.4925, 121.5065, 121.844, 57341579.1972179
05/21/20, 125.00, 126.2725, 122.127, 122.337, 102288058.567967
05/20/20, 123.8935, 125.0005, 123.3635, 124.897, 79962858.88052
05/19/20, 121.4915, 124.2498, 121.4485, 122.4665, 86409958.7902606
05/18/20, 120.2173, 121.65, 119.2005, 121.313, 87331438.7773599
05/15/20, 118.426, 120.55, 117.8185, 120.489, 84699018.8142137
05/14/20, 118.0505, 119.5685, 117.6605, 119.4425, 72962558.9785242
05/13/20, 118.34, 120.385, 116.8903, 118.396, 95658378.6607827
05/12/20, 120.5925, 120.95, 117.75, 117.8475, 61498319.1390235
05/11/20, 118.735, 120.9833, 118.6055, 120.45, 65184619.0874153
05/08/20, 118.607, 119.3623, 117.85, 118.9805, 64224559.1008562
05/07/20, 118.739, 118.80, 117.1555, 118.3805, 67928219.049005
05/06/20, 116.472, 117.8725, 116.00, 117.563, 62356279.1270121
05/05/20, 117.00, 117.55, 115.3563, 115.89, 64849919.0921011
05/04/20, 112.819, 116.349, 112.819, 115.7995, 97318518.6375408
05/01/20, 116.84, 118.122, 112.9095, 114.302, 195452097.263671
04/30/20, 120.992, 123.75, 119.8005, 123.70, 190692217.330309
04/29/20, 116.5005, 119.5945, 115.50, 118.6355, 91831858.714354
04/28/20, 118.605, 118.675, 115.30, 115.704, 105388918.524555
04/27/20, 122.16, 122.244, 118.15, 118.80, 112912898.419219
04/24/20, 120.85, 121.0217, 119.10, 120.511, 76635938.9270969
04/23/20, 119.999, 121.211, 119.104, 119.9725, 101331038.581365
04/22/20, 118.45, 119.70, 117.55, 118.1745, 84365898.8188774
04/21/20, 120.8305, 121.4155, 113.983, 116.406, 149533597.90653
04/20/20, 119.4975, 122.249, 119.3025, 119.6805, 115413878.384206
04/17/20, 118.6165, 120.00, 115.801, 118.75, 158600177.779598
04/16/20, 117.30, 123.0499, 116.75, 120.4095, 240763996.629304
04/15/20, 112.884, 116.6685, 112.25, 115.384, 137331338.077361
04/14/20, 110.0235, 114.60, 109.3105, 114.166, 161743857.735586
04/13/20, 102.00, 109.00, 101.90, 108.4435, 134334178.119322
04/09/20, 102.215, 102.65, 100.883, 102.138, 93112338.6964273
04/08/20, 101.05, 102.20, 100.5575, 102.15, 79546258.8863524
04/07/20, 100.8555, 101.786, 99.881, 100.58, 102279658.568085
04/06/20, 96.80, 99.926, 96.501, 99.8795, 114461198.397543
04/03/20, 95.5575, 96.3165, 94.4575, 95.3295, 72197398.9892364
04/02/20, 95.082, 96.3763, 94.50, 95.9415, 86719698.7859242
04/01/20, 96.6485, 97.248, 94.65, 95.385, 82437498.845875
03/31/20, 98.2175, 99.651, 97.2005, 97.486, 102472518.565385
03/30/20, 96.1415, 98.6815, 95.617, 98.1975, 122521738.284696
03/27/20, 96.543, 96.9895, 94.996, 95.005, 107757938.491389
03/26/20, 95.10, 97.8245, 94.4645, 97.7745, 124702358.254167
03/25/20, 96.0345, 97.513, 94.289, 94.292, 129581458.18586
03/24/20, 97.5748, 97.75, 95.017, 97.005, 142941597.998818
03/23/20, 91.3875, 95.97, 90.60, 95.1415, 156169777.813623
03/20/20, 96.3155, 97.85, 91.0365, 92.3045, 196356997.251002
03/19/20, 93.00, 97.25, 91.6325, 94.0465, 207998797.088017
